user_id,age,country,device,tenure_days,exp1_group,watch_time_seconds,exp2_group,clicked,exp3_group,app_opens,exp4_group,session_length_minutes
u_000000,26,US,Android,139,control,189.8,treatment,0,control,15.4,control,0.57
u_000001,23,IN,Android,31,treatment,111.3,control,0,control,10.4,control,8.23
u_000002,27,DE,Android,730,control,157.5,treatment,0,treatment,9.7,control,3.64
u_000003,33,FR,iOS,118,treatment,171.8,control,0,control,9.5,treatment,17.73
u_000004,22,US,Android,78,treatment,213.1,treatment,0,treatment,0.3,treatment,14.87
u_000005,22,US,Android,341,treatment,208.0,control,1,treatment,9.7,control,6.2
u_000006,33,US,Android,303,control,198.8,treatment,0,control,6.5,control,7.62
u_000007,28,DE,iOS,47,treatment,170.1,treatment,0,treatment,7.9,treatment,3.95
u_000008,21,US,Android,333,control,172.4,control,0,treatment,8.3,control,22.33
u_000009,27,US,iOS,59,treatment,168.4,control,0,control,13.1,treatment,7.29
u_000010,21,US,Android,12,treatment,171.0,control,0,treatment,6.9,control,14.52
u_000011,21,DE,Android,6,control,235.4,treatment,0,control,5.6,treatment,12.24
u_000012,25,ID,iOS,132,control,82.3,control,0,treatment,14.7,control,7.84
u_000013,13,BR,iOS,74,treatment,171.4,control,0,treatment,7.4,treatment,15.19
u_000014,13,MX,Android,259,treatment,140.4,control,0,control,6.7,treatment,3.42
u_000015,20,ID,iOS,138,control,210.3,control,0,control,7.7,control,7.71
u_000016,17,ID,Android,271,control,207.7,treatment,0,control,6.7,control,4.06
u_000017,25,US,iOS,209,treatment,215.5,treatment,0,control,7.1,control,11.27
u_000018,18,BR,Android,730,treatment,181.3,treatment,0,treatment,13.1,control,5.98
u_000019,15,MX,Android,118,treatment,197.7,treatment,0,treatment,8.5,treatment,17.31
u_000020,32,BR,Android,74,control,204.6,treatment,0,control,11.9,control,8.95
u_000021,22,US,iOS,36,treatment,233.5,treatment,0,control,7.3,control,8.29
u_000022,24,US,Android,193,treatment,83.0,treatment,0,control,10.2,treatment,8.34
u_000023,15,FR,iOS,139,treatment,155.7,control,0,control,10.6,treatment,12.78
u_000024,20,ID,Android,221,treatment,217.8,control,0,control,13.4,control,11.27
u_000025,24,ID,iOS,274,control,151.8,treatment,0,treatment,7.9,control,20.01
u_000026,17,ID,Android,189,control,211.2,control,0,control,5.1,treatment,16.61
u_000027,26,US,iOS,307,treatment,192.2,control,0,control,12.2,control,3.72
u_000028,20,US,Android,42,control,296.3,control,0,control,8.2,control,8.9
u_000029,22,IN,Android,415,treatment,104.3,treatment,0,treatment,4.9,control,1.76
u_000030,20,IN,Android,49,control,120.4,treatment,0,control,6.7,treatment,7.47
u_000031,35,MX,Android,72,treatment,241.6,treatment,0,treatment,7.5,treatment,3.87
u_000032,23,US,Android,24,control,271.5,treatment,0,treatment,8.4,treatment,10.24
u_000033,17,UK,Android,35,treatment,245.5,control,0,treatment,5.9,treatment,12.14
u_000034,28,US,Android,219,control,199.5,control,0,treatment,12.2,control,6.49
u_000035,16,IN,Android,28,control,166.0,treatment,0,treatment,9.8,treatment,12.56
u_000036,25,UK,iOS,730,treatment,135.6,treatment,0,control,8.1,treatment,13.35
u_000037,13,UK,Android,516,treatment,202.5,treatment,0,control,10.8,treatment,16.73
u_000038,16,UK,iOS,12,control,195.5,control,0,control,10.3,control,4.64
u_000039,25,US,iOS,280,treatment,100.1,control,0,treatment,9.5,treatment,8.84
u_000040,28,UK,Android,85,control,240.8,control,0,treatment,3.1,treatment,7.82
u_000041,25,IN,iOS,296,control,114.7,control,0,control,5.3,treatment,16.93
u_000042,23,IN,iOS,12,control,288.7,control,0,control,10.9,control,16.83
u_000043,22,US,Android,176,control,95.9,control,0,treatment,15.7,treatment,16.96
u_000044,15,IN,Android,227,treatment,288.9,control,0,control,9.9,control,5.95
u_000045,19,DE,iOS,337,treatment,128.3,control,0,control,9.5,treatment,7.64
u_000046,21,US,iOS,395,control,157.1,treatment,0,control,5.7,treatment,9.69
u_000047,30,FR,iOS,2,treatment,65.1,control,1,control,10.2,control,14.69
u_000048,26,UK,Android,247,treatment,88.6,control,0,control,11.2,treatment,4.27
u_000049,13,US,iOS,28,control,134.5,treatment,0,control,8.6,treatment,3.84
u_000050,25,UK,iOS,137,control,236.0,control,0,treatment,10.0,treatment,12.3
u_000051,21,US,Android,83,treatment,119.7,control,0,control,8.1,treatment,9.01
u_000052,19,BR,Android,45,treatment,240.4,control,0,control,9.8,control,17.28
u_000053,27,UK,Android,64,control,227.9,control,0,treatment,7.8,treatment,11.04
u_000054,30,MX,iOS,54,treatment,225.6,control,1,control,2.5,control,17.4
u_000055,29,ID,iOS,46,treatment,307.3,treatment,1,control,9.0,control,14.99
u_000056,18,IN,iOS,189,treatment,161.7,treatment,0,control,8.1,treatment,12.51
u_000057,22,BR,Android,76,treatment,225.2,control,0,treatment,4.5,control,6.19
u_000058,25,BR,iOS,404,treatment,112.0,treatment,0,treatment,9.6,control,10.89
u_000059,29,UK,iOS,139,control,168.4,control,0,treatment,4.2,control,0.5
